Variable,Obs,Mean,Std Dev,Min,P25,Median,P75,Max
Total Assets (NPR M),127,269456.8,125630.24,77199.29,179420.22,233862.21,349784.44,688080.4
Gross Loans (NPR M),123,175173.21,78926.76,51512.72,120615.3,159479.29,220772.69,410992.04
Total Deposits (NPR M),126,218324.12,105136.88,57512.41,142472.08,187026.89,286039.54,550628.59
Shareholders' Equity (NPR M),126,27932.79,12891.47,10072.21,18687.84,25339.13,33614.9,66627.41
Net Profit PAT (NPR M),128,2548.76,1454.39,-3863.16,1674.57,2497.82,3363.24,6694.36
Return on Assets ROA (%),104,1.04,0.5,-0.98,0.82,1.09,1.3,2.52
Return on Equity ROE (%),103,9.86,4.64,-13.99,7.87,10.49,12.94,18.43
Net Interest Margin NIM (%),100,4.34,0.72,2.73,3.88,4.24,4.68,7.59
Cost-to-Income Ratio (%),128,18.78,14.66,4.92,9.08,11.49,21.19,60.09
Gross NPL Ratio (%),60,4.02,0.34,3.6,3.6,3.99,4.5,4.5
Capital Adequacy Ratio CAR (%),106,13.59,1.66,11.59,12.68,13.28,13.9,23.31
CASA Deposit Ratio (%),126,38.55,3.99,35.55,35.55,35.55,44.34,44.34
