bank_code,bank_name,listed,state_owned,fy,total_assets,cash_bank_balances,investments,gross_loans,net_loans,total_deposits,borrowings,total_liabilities,shareholders_equity,paid_up_capital,reserves,interest_income,interest_expense,net_interest_income,non_interest_income,operating_income,operating_expenses,personnel_expenses,provision_loan_losses,profit_before_tax,profit_after_tax,roa,roe,nim,profit_margin,asset_growth,loan_growth,deposit_growth,equity_growth,profit_growth,cost_income,assets_per_employee,loans_per_employee,deposits_per_employee,profit_per_employee,assets_per_branch,gross_npl_pct,net_npl_pct,provision_coverage_pct,car_pct,cet1_pct,loan_deposit_ratio,asset_share_pct,loan_share_pct,deposit_share_pct,profit_share_pct,asset_rank,loan_rank,deposit_rank,profit_rank,branches,employees,atms,extension_counters,branchless_banking_centers,mobile_banking_users,internet_banking_users,debit_cards,credit_cards,qr_users,digital_transactions_count,agriculture,manufacturing,construction,wholesale_retail,transportation,tourism,consumption,real_estate,hydropower,sme,retail,corporate,housing,vehicle,margin_lending,other_sectors,current_deposits,savings_deposits,fixed_deposits,call_deposits,other_deposits,casa_ratio,fixed_deposit_share,cost_of_deposits_pct,gdp_growth_pct,inflation_pct,remittance_usd_mn,policy_rate_pct,bank_rate_pct,ticker,share_price_eoy,market_cap,pe_ratio,pb_ratio,eps,bvps,dividend_per_share,dividend_yield_pct,annual_return_pct,price_volatility,digital_account_opening,mobile_banking,digital_lending,qr_ecosystem,api_open_banking,ai_initiatives,digital_customer_acquisition,core_banking_upgrade,fintech_partnership,digital_index
ADBL,Agriculture Development Bank,True,True,2020,179417.06,8504.5,24379.55,123052.28,,143648.27,12.06,150957.62,28459.44,14989.17,11369.81,15821.7,9105.58,6716.12,2303.93,9020.05,4184.219999999999,3025.47,517.22,4399.85,3331.74,,,,36.9370458035155,,,,,,46.38799119738804,,,,,,,,,20.46,17.63,85.66220811430587,4.751271860607973,5.001018392498532,4.778939943767318,6.824629987904387,10.0,7.0,6.0,3.0,,,,,,,,,,,,9408.5,14906.0,4771.9,25544.4,2385.9,5190.0,21904.0,8744.4,8904.3,18743.2,51482.3,26294.6,6210.8,1672.6,7477.6,11093.4,12467.0,38593.0,81839.5,10729.1,,35.55,56.98,,-2.3696206292072,5.05635826238499,8107.7,5.0,6.0,ADBL,,,,,,,13.95,,,,,,,,,,,,,
ADBL,Agriculture Development Bank,True,True,2021,222440.35,10636.73,37880.07,150598.36,,162814.93,538.53,190935.23,31505.12,10989.93,11427.96,15124.05,8258.33,6865.72,1612.95,9878.5,4719.759999999999,3311.39,121.43,5062.34,3527.54,1.755617745110137,11.76541610577982,5.017872423028135,35.70926760135648,23.97948667757681,22.38567217121048,13.34277120079483,10.70182688064136,5.876809114756854,47.77810396315229,,,,,,,,,23.31,14.76,92.49665248758207,4.790585589781418,4.682234372148189,4.461814884453688,6.382453635234291,9.0,8.0,9.0,4.0,,,148.0,,63.0,468088.0,41316.0,313312.0,7125.0,,,11529.5,18266.3,5847.6,31302.9,2923.8,6360.0,26841.8,10715.6,10911.6,22968.5,63088.1,32222.2,7611.0,2049.7,9163.3,13594.2,14132.3,43748.4,92771.9,12162.3,,35.55,56.98,,4.838149614115,4.12676744440695,8226.0,3.0,4.0,ADBL,,,,,,,12.84,,,,,,,,,,,,,
ADBL,Agriculture Development Bank,True,True,2022,246184.24,6559.9,45922.12,173314.97,,166590.27,1777.21,212827.21,33357.03,18620.63,11214.61,19582.6,11226.66,8355.94,1464.29,9766.34,5169.179999999999,3823.92,992.76,3640.39,2225.77,0.9499160084621254,6.863078081747213,5.159367785203531,22.79021619153132,10.67427290057761,15.08423464903603,2.318792263092817,5.878123936680768,-36.90305425310556,52.92852798489505,,,,,,4.02,1.81,110.0,14.87,11.53,104.0366703289454,4.954080132602693,5.244955535319248,4.454097245466562,3.742610271281527,8.0,7.0,13.0,15.0,,,163.0,,59.0,618902.0,49211.0,395170.0,9184.0,,,13574.1,21505.6,6884.6,36854.0,3442.3,7487.9,31601.8,12615.9,12846.6,27041.7,74275.8,37936.4,8960.7,2413.2,10788.3,16005.0,14460.0,44762.8,94923.1,12444.3,,35.55,56.98,,5.6313145568451,7.6702057938028,9411.7,6.0,7.0,ADBL,,,,,,,4.78,,,,,,,,,,,,,
ADBL,Agriculture Development Bank,True,True,2023,265670.98,7096.5,57411.02,180438.11,,199486.61,2136.56,231877.33,33793.65,18884.39,13666.1,23948.68,15753.03,8195.66,1371.86,9601.18,5103.5,3620.73,1458.17,3114.88,1323.41,0.5171032543147651,3.941613100567262,4.633548349600236,13.78382657131728,7.91551075730923,4.10993926260379,19.74685556365328,1.308929482031229,-40.54147553430947,53.15492470717141,,,,,,3.96,1.78,110.0,13.9,10.68,90.4512388074568,4.298529572252646,4.586972764297014,3.986207690828754,2.339234934196479,13.0,11.0,13.0,17.0,,,223.0,,65.0,921923.0,67398.0,567921.0,14156.0,,,12793.1,22338.2,7217.5,35943.3,3049.4,7867.1,33218.7,12684.8,14994.4,26849.2,84048.1,31288.0,8877.6,2778.7,10555.6,16059.0,12767.1,60723.7,110116.6,15879.1,,36.84,55.2,,1.98254843461849,7.11587261530826,10764.4,7.5,8.5,ADBL,,,,,34.87,297.94,2.8,,,,,,,,,,,,,
ADBL,Agriculture Development Bank,True,True,2024,311375.43,20427.08,68611.26,206819.25,,243628.66,2664.57,275235.48,36139.95,18884.39,15119.47,27571.35,17018.57,10552.78,1672.37,12220.28,5629.25,4158.3,2452.17,4103.15,2897.49,1.004248514430581,8.286403102371391,5.450008748703963,23.71050417830033,17.20340324712921,14.62060315307006,22.12782602300978,6.943020360333962,118.9412200300738,46.06482011868795,,,,,,3.87,1.74,110.0,14.4,11.05,84.89118234283274,4.515649146679883,4.919374005318391,4.300024522082377,5.43817074132048,11.0,9.0,11.0,10.0,,,240.0,,56.0,1057054.0,66254.0,587887.0,14368.0,,,13277.8,24363.3,8500.3,39419.7,3019.6,9182.8,40040.2,15325.3,18613.7,28003.3,94226.9,38675.2,9617.1,4860.3,10692.6,20723.3,18954.3,89070.6,115942.9,19685.2,,44.34,47.59,,3.67787459697703,4.6850965426577,11254.5,6.5,7.5,ADBL,294.0,55519.0,9.16,1.03,32.1,286.67,6.14,2.09,,,,,,,,,,,,
ADBL,Agriculture Development Bank,True,True,2025,361528.19,4620.87,96356.59,212616.74,,293358.98,2804.66,322911.27,38616.92,19287.94,16512.31,22825.62,13001.0,9824.61,1628.43,11854.67,6013.07,4547.4,630.77,5220.25,3732.42,1.109347576403289,9.985490296744635,4.68467667736381,31.48480725317533,16.1068456814335,2.803167500123904,20.41234393359139,6.853827966004378,28.81563007982773,50.72321709503512,,,,,,,,,,,72.4766427808005,4.661128955246157,4.802636292457558,4.552736492883127,7.065444550452046,12.0,13.0,12.0,6.0,,,244.0,,41.0,1189376.0,80076.0,618680.0,15757.0,,,13836.2,25387.9,8857.8,41077.6,3146.6,9569.0,41724.1,15969.8,19396.5,29181.0,98189.6,40301.7,10021.5,5064.7,11142.2,21594.8,22823.3,107252.0,139609.5,23703.4,,44.34,47.59,,4.43073194983359,2.65334269811436,,5.0,6.0,ADBL,323.7,62435.3,27.09,1.81,11.95,179.14,7.74,2.39,10.1,,,,,,,,,,,
BOKL,Bank of Kathmandu,True,False,2020,109583.13,2373.97,14170.25,75915.26,79382.99,92103.3,,95272.57,14310.56,8546.89,4808.47,9980.92,6405.72,3575.21,863.8199999999999,4439.03,1781.41,1111.88,563.66,2106.45,1460.7,,,,32.90583753657894,,,,,,40.13061412065249,,,,,,,,,14.16,13.27,82.42403909523328,2.901949468831701,3.085303348554842,3.064124192534894,2.992051307524578,21.0,20.0,19.0,17.0,,,,,,,,,,,,6074.2,9623.4,3080.8,16491.6,1540.4,3350.7,14141.3,5645.4,5748.6,12100.7,33237.3,16976.0,4009.8,1079.9,4827.6,7162.0,7994.6,24748.2,52480.5,6880.1,,35.55,56.98,,-2.3696206292072,5.05635826238499,8107.7,5.0,6.0,,,,,,7.01,178.95,6.84,,,,,,,,,,,,,
BOKL,Bank of Kathmandu,True,False,2021,131981.71,9695.74,20123.06,96978.67,96964.9,103413.43,1198.24,115462.43,16519.28,9658.18,5503.29,8552.92,5291.36,3261.56,637.34,4241.34,1840.62,1154.87,-127.15,2539.72,1726.41,1.429355364795638,11.1996040200014,3.772902842800786,40.70435286961197,20.4398067476262,27.74594989202435,12.27983145012175,15.43419684484744,18.19059355103718,43.39713392465588,,,,,,,,,14.02,11.73,93.77763603818188,2.842423499336834,3.015151440156563,2.833963575861314,3.123630569860252,20.0,19.0,20.0,16.0,,,148.0,,63.0,468088.0,41316.0,313312.0,7125.0,,,7418.9,11753.8,3762.8,20142.5,1881.4,4092.5,17271.9,6895.2,7021.3,14779.5,40595.3,20734.0,4897.4,1318.9,5896.3,8747.5,8976.3,27787.2,58925.0,7725.0,,35.55,56.98,,4.838149614115,4.12676744440695,8226.0,3.0,4.0,,,,,,15.34,191.38,7.15,,,,,,,,,,,,,
BOKL,Bank of Kathmandu,True,False,2022,,,,,,,,,,,,11303.38,7501.56,3801.83,639.0,4644.37,2186.55,1427.91,-808.35,3328.15,2322.54,,,,50.00764366318791,,,,,34.53003631813996,47.07958237608116,,,,,,,,,,,,,,,3.905328070493447,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6313145568451,7.6702057938028,9411.7,6.0,7.0,,,,,,19.35,200.21,,,,,,,,,,,,,,
BOKL,Bank of Kathmandu,True,False,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98254843461849,7.11587261530826,10764.4,7.5,8.5,,,,,,,,,,,,,,,,,,,,,
